,Name,Age,Birthday,Height,Weight,Rank,Country Represent,Year Turned Pro,Wins,Losses,Handed,Backhand Style,Number of Coaches
3,Milos Raonic,26,1990.12.27,196,216.0,24,"Podgorica, Montenegro",2008.0,288,132,Right-Handed,Two-Handed Backhand,0
5,Stan Wawrinka,32,1985.03.28,183,179.0,9,"Lausanne, Switzerland",2002.0,465,262,Right-Handed,One-Handed Backhand,0
7,Rafael Nadal,31,1986.06.03,185,188.0,1,"Manacor, Mallorca, Spain",2001.0,873,185,Left-Handed,Two-Handed Backhand,2
9,Kyle Edmund,22,1995.01.08,188,184.0,50,"Johannesburg, South Africa",2012.0,53,63,Right-Handed,Two-Handed Backhand,1
11,Jordan Thompson,23,1994.04.20,183,161.0,94,"Sydney, Australia",2013.0,16,29,Right-Handed,Two-Handed Backhand,1
13,Dominic Thiem,24,1993.09.03,185,180.0,5,"Wiener Neustadt, Austria",2011.0,171,109,Right-Handed,One-Handed Backhand,1
15,Diego Schwartzman,25,1992.08.16,170,141.0,26,"Buenos Aires, Argentina",2010.0,70,76,Right-Handed,Two-Handed Backhand,1
17,Viktor Troicki,31,1986.02.10,193,189.0,55,"Belgrade, Serbia",2006.0,282,250,Right-Handed,Two-Handed Backhand,1
19,Jared Donaldson,21,1996.10.09,188,165.0,54,"Providence, RI, USA",2014.0,32,44,Right-Handed,Two-Handed Backhand,1
21,Sam Groth,30,1987.10.19,193,220.0,247,"Narrandera, Australia",2006.0,38,62,Right-Handed,One-Handed Backhand,1
23,Mischa Zverev,30,1987.08.22,191,194.0,33,"Moscow, Russia",2005.0,110,155,Left-Handed,Two-Handed Backhand,2
25,Lucas Pouille,23,1994.02.23,185,179.0,18,"Grande-Synthe, France",2012.0,85,66,Right-Handed,Two-Handed Backhand,1
27,Nicolas Mahut,35,1982.01.21,191,176.0,104,"Angers, France",2000.0,171,213,Right-Handed,One-Handed Backhand,2
29,David Ferrer,35,1982.04.02,175,160.0,37,"Javea, Spain",2000.0,717,353,Right-Handed,Two-Handed Backhand,1
31,Alexandr Dolgopolov,29,1988.11.07,180,157.0,38,"Kiev, Ukraine",2006.0,216,196,Right-Handed,Two-Handed Backhand,1
33,Gilles Simon,32,1984.12.27,183,154.0,89,"Nice, France",2002.0,421,307,Right-Handed,Two-Handed Backhand,0
35,Steve Johnson,27,1989.12.24,188,190.0,44,"Orange, CA, USA",2012.0,122,116,Right-Handed,Two-Handed Backhand,1
37,Bernard Tomic,25,1992.10.21,196,201.0,142,"Stuttgart, Germany",2008.0,169,158,Right-Handed,Two-Handed Backhand,1
39,Gilles Muller,34,1983.05.09,193,196.0,25,"Luxembourg City, Luxembourg",2001.0,223,194,Left-Handed,Two-Handed Backhand,3
41,Ernesto Escobedo,21,1996.07.04,185,180.0,120,"Los Angeles, CA, USA",2014.0,11,19,Right-Handed,Two-Handed Backhand,1
43,Pierre-Hugues Herbert,26,1991.03.18,188,174.0,81,"Schiltigheim, France",2010.0,30,51,Right-Handed,Two-Handed Backhand,2
45,Stephane Robert,37,1980.05.17,185,170.0,218,"Montargis, France",2001.0,37,72,Right-Handed,Two-Handed Backhand,1
47,Sam Querrey,30,1987.10.07,198,210.0,13,"San Francisco, CA, USA",2006.0,321,257,Right-Handed,Two-Handed Backhand,1
49,Elias Ymer,21,1996.04.10,183,173.0,144,"Skara, Sweden",2014.0,13,30,Right-Handed,Two-Handed Backhand,1
51,Yoshihito Nishioka,22,1995.09.27,170,141.0,166,"Mie, Japan",2014.0,22,27,Left-Handed,Two-Handed Backhand,1
53,Alex de Minaur,18,1999.02.17,180,152.0,208,"Sydney, Australia",2015.0,2,5,Right-Handed,Two-Handed Backhand,1
55,Tim Smyczek,29,1987.12.30,175,160.0,130,"Milwaukee, WI, USA",2006.0,36,70,Right-Handed,Two-Handed Backhand,0
57,John-Patrick Smith,28,1989.01.24,188,185.0,221,"Townsville, Australia",2012.0,5,15,Left-Handed,Two-Handed Backhand,1
59,Frances Tiafoe,19,1998.01.20,188,170.0,79,"Hyattsville, MD, USA",2015.0,9,29,Right-Handed,Two-Handed Backhand,2
61,Ivan Dodig,32,1985.01.02,183,183.0,5,"Medjugorje, Bosnia-Herzegovina",2004.0,218,151,Right-Handed,Two-Handed Backhand,1
63,Mikhail Kukushkin,29,1987.12.26,183,159.0,74,"Volgograd, Russia",2006.0,117,151,Right-Handed,Two-Handed Backhand,1
65,Ryan Harrison,25,1992.05.07,185,185.0,47,"Shreveport, LA, USA",2007.0,93,129,Right-Handed,Two-Handed Backhand,2
67,Go Soeda,33,1984.09.05,178,160.0,150,"Kanagawa, Japan",2003.0,53,87,Right-Handed,Two-Handed Backhand,1
69,Rajeev Ram,33,1984.03.18,193,180.0,22,"Denver, CO, USA",2004.0,214,193,Right-Handed,One-Handed Backhand,2
71,Andrew Whittington,24,1993.08.11,188,181.0,228,"Williamstown, Australia",,2,3,Right-Handed,Two-Handed Backhand,0
73,Bjorn Fratangelo,24,1993.07.19,183,175.0,111,"Pittsburgh, PA, USA",2012.0,14,22,Right-Handed,Two-Handed Backhand,1
75,Stefan Kozlov,19,1998.02.01,183,174.0,167,"Skopje, Macedonia",2013.0,5,15,Right-Handed,Two-Handed Backhand,2
77,Tobias Kamke,31,1986.05.21,178,168.0,234,"Lubeck, Germany",2004.0,63,102,Right-Handed,Two-Handed Backhand,2
78,Roberto Bautista Agut,26,1991.05.16,191,176.0,3,"Haskovo, Bulgaria",2008.0,257,161,Right-Handed,One-Handed Backhand,1
79,Daniil Medvedev,27,1989.12.29,178,165.0,22,"Shimane, Japan",2007.0,331,155,Right-Handed,Two-Handed Backhand,2
81,Benoit Paire,26,1990.12.27,196,216.0,24,"Podgorica, Montenegro",2008.0,288,132,Right-Handed,Two-Handed Backhand,0
83,Dudi Sela,32,1985.03.28,183,179.0,9,"Lausanne, Switzerland",2002.0,465,262,Right-Handed,One-Handed Backhand,0
85,Mikhail Youzhny,31,1986.06.03,185,188.0,1,"Manacor, Mallorca, Spain",2001.0,873,185,Left-Handed,Two-Handed Backhand,2
87,Albert Ramos-Vinolas,22,1995.01.08,188,184.0,50,"Johannesburg, South Africa",2012.0,53,63,Right-Handed,Two-Handed Backhand,1
89,Aljaz Bedene,23,1994.04.20,183,161.0,94,"Sydney, Australia",2013.0,16,29,Right-Handed,Two-Handed Backhand,1
91,Jozef Kovalik,24,1993.09.03,185,180.0,5,"Wiener Neustadt, Austria",2011.0,171,109,Right-Handed,One-Handed Backhand,1
93,Marin Cilic,25,1992.08.16,170,141.0,26,"Buenos Aires, Argentina",2010.0,70,76,Right-Handed,Two-Handed Backhand,1
95,Rogerio Dutra Silva,31,1986.02.10,193,189.0,55,"Belgrade, Serbia",2006.0,282,250,Right-Handed,Two-Handed Backhand,1
97,Steve Darcis,21,1996.10.09,188,165.0,54,"Providence, RI, USA",2014.0,32,44,Right-Handed,Two-Handed Backhand,1
99,Martin Klizan,30,1987.10.19,193,220.0,247,"Narrandera, Australia",2006.0,38,62,Right-Handed,One-Handed Backhand,1
101,Yuki Bhambri,30,1987.08.22,191,194.0,33,"Moscow, Russia",2005.0,110,155,Left-Handed,Two-Handed Backhand,2
103,Renzo Olivo,23,1994.02.23,185,179.0,18,"Grande-Synthe, France",2012.0,85,66,Right-Handed,Two-Handed Backhand,1
105,Yen-Hsun Lu,35,1982.01.21,191,176.0,104,"Angers, France",2000.0,171,213,Right-Handed,One-Handed Backhand,2
