,winner,loser,Court,Type,match score
0,Grigor Dimitrov,Kei Nishikori,Outdoor,Hard,62 26 63 
1,Grigor Dimitrov,Milos Raonic,Outdoor,Hard,767 62 
2,Kei Nishikori,Stan Wawrinka,Outdoor,Hard,763 63 
3,Milos Raonic,Rafael Nadal,Outdoor,Hard,46 63 64 
4,Stan Wawrinka,Kyle Edmund,Outdoor,Hard,672 64 64 
5,Kei Nishikori,Jordan Thompson,Outdoor,Hard,61 61 
6,Grigor Dimitrov,Dominic Thiem,Outdoor,Hard,63 46 63 
7,Milos Raonic,Diego Schwartzman,Outdoor,Hard,63 62 
8,Stan Wawrinka,Viktor Troicki,Outdoor,Hard,765 64 
9,Kei Nishikori,Jared Donaldson,Outdoor,Hard,46 64 63 
10,Dominic Thiem,Sam Groth,Outdoor,Hard,765 63 
11,Rafael Nadal,Mischa Zverev,Outdoor,Hard,61 61 
12,Kyle Edmund,Lucas Pouille,Outdoor,Hard,63 31 (RET)
13,Grigor Dimitrov,Nicolas Mahut,Outdoor,Hard,62 64 
14,Jordan Thompson,David Ferrer,Outdoor,Hard,46 75 75 
15,Rafael Nadal,Alexandr Dolgopolov,Outdoor,Hard,63 63 
16,Lucas Pouille,Gilles Simon,Outdoor,Hard,766 764 
17,Grigor Dimitrov,Steve Johnson,Outdoor,Hard,62 63 
18,David Ferrer,Bernard Tomic,Outdoor,Hard,63 75 
19,Jared Donaldson,Gilles Muller,Outdoor,Hard,64 64 
20,Kyle Edmund,Ernesto Escobedo,Outdoor,Hard,764 766 
21,Sam Groth,Pierre-Hugues Herbert,Outdoor,Hard,63 57 75 
22,Nicolas Mahut,Stephane Robert,Outdoor,Hard,46 63 64 
23,Diego Schwartzman,Sam Querrey,Outdoor,Hard,62 64 
24,Jordan Thompson,Elias Ymer,Outdoor,Hard,63 62 
25,Viktor Troicki,Yoshihito Nishioka,Outdoor,Hard,64 75 
26,Mischa Zverev,Alex de Minaur,Outdoor,Hard,63 63 
27,Yoshihito Nishioka,Tim Smyczek,Outdoor,Hard,75 64 
28,Jared Donaldson,John-Patrick Smith,Outdoor,Hard,62 46 762 
29,Alex de Minaur,Frances Tiafoe,Outdoor,Hard,674 64 64 
30,Ernesto Escobedo,Ivan Dodig,Outdoor,Hard,63 673 63 
31,Alex de Minaur,Mikhail Kukushkin,Outdoor,Hard,64 767 
32,Ivan Dodig,Ryan Harrison,Outdoor,Hard,64 46 64 
33,Yoshihito Nishioka,Go Soeda,Outdoor,Hard,64 06 62 
34,Jared Donaldson,Rajeev Ram,Outdoor,Hard,62 64 
35,Frances Tiafoe,Andrew Whittington,Outdoor,Hard,765 63 
36,Tim Smyczek,Bjorn Fratangelo,Outdoor,Hard,46 62 63 
37,John-Patrick Smith,Stefan Kozlov,Outdoor,Hard,62 63 
38,Ernesto Escobedo,Tobias Kamke,Outdoor,Hard,63 64 
39,Roberto Bautista Agut,Daniil Medvedev,Outdoor,Hard,63 64 
40,Roberto Bautista Agut,Benoit Paire,Outdoor,Hard,63 63 
41,Daniil Medvedev,Dudi Sela,Outdoor,Hard,46 762 62 
42,Roberto Bautista Agut,Mikhail Youzhny,Outdoor,Hard,26 64 64 
43,Dudi Sela,Albert Ramos-Vinolas,Outdoor,Hard,75 64 
44,Benoit Paire,Aljaz Bedene,Outdoor,Hard,63 60 
45,Daniil Medvedev,Jozef Kovalik,Outdoor,Hard,61 64 
46,Jozef Kovalik,Marin Cilic,Outdoor,Hard,765 57 75 
47,Roberto Bautista Agut,Rogerio Dutra Silva,Outdoor,Hard,63 62 
48,Albert Ramos-Vinolas,Steve Darcis,Outdoor,Hard,62 60 
49,Aljaz Bedene,Martin Klizan,Outdoor,Hard,763 673 762 
50,Benoit Paire,Yuki Bhambri,Outdoor,Hard,63 64 
51,Mikhail Youzhny,Renzo Olivo,Outdoor,Hard,61 75 
52,Daniil Medvedev,Yen-Hsun Lu,Outdoor,Hard,64 63 
53,Dudi Sela,Hyeon Chung,Outdoor,Hard,62 62 
54,Benoit Paire,Konstantin Kravchuk,Outdoor,Hard,63 64 
55,Hyeon Chung,Borna Coric,Outdoor,Hard,63 75 
56,Mikhail Youzhny,Saketh Myneni,Outdoor,Hard,64 63 
57,Yen-Hsun Lu,Radu Albot,Outdoor,Hard,62 61 
58,Aljaz Bedene,Guillermo Garcia-Lopez,Outdoor,Hard,63 63 
59,Yuki Bhambri,Ramkumar Ramanathan,Outdoor,Hard,61 61 
60,Steve Darcis,Nikola Mektic,Outdoor,Hard,62 63 
61,Rogerio Dutra Silva,Dusan Lajovic,Outdoor,Hard,762 46 763 
62,Jozef Kovalik,Gastao Elias,Outdoor,Hard,675 64 62 
