,Name,Age,Birthday,Weight,Height,Rank,Turned Pro,Country,Playstyle,Coach,Wins:Loss
0,Grigor Dimitrov,26,(1991.05.16),176,(191cm),3,2008,"Haskovo, Bulgaria","Right-Handed, One-Handed Backhand",Daniel Vallverdu,257-161
1,Kei Nishikori,27,(1989.12.29),165,(178cm),22,2007,"Shimane, Japan","Right-Handed, Two-Handed Backhand",Dante Bottini and Michael Chang,331-155
2,Grigor Dimitrov,26,(1991.05.16),176,(191cm),3,2008,"Haskovo, Bulgaria","Right-Handed, One-Handed Backhand",Daniel Vallverdu,257-161
3,Milos Raonic,26,(1990.12.27),216,(196cm),24,2008,"Podgorica, Montenegro","Right-Handed, Two-Handed Backhand",,288-132
4,Kei Nishikori,27,(1989.12.29),165,(178cm),22,2007,"Shimane, Japan","Right-Handed, Two-Handed Backhand",Dante Bottini and Michael Chang,331-155
5,Stan Wawrinka,32,(1985.03.28),179,(183cm),9,2002,"Lausanne, Switzerland","Right-Handed, One-Handed Backhand",,465-262
6,Milos Raonic,26,(1990.12.27),216,(196cm),24,2008,"Podgorica, Montenegro","Right-Handed, Two-Handed Backhand",,288-132
7,Rafael Nadal,31,(1986.06.03),188,(185cm),1,2001,"Manacor, Mallorca, Spain","Left-Handed, Two-Handed Backhand",Carlos Moya and Toni Nadal,873-185
8,Stan Wawrinka,32,(1985.03.28),179,(183cm),9,2002,"Lausanne, Switzerland","Right-Handed, One-Handed Backhand",,465-262
9,Kyle Edmund,22,(1995.01.08),184,(188cm),50,2012,"Johannesburg, South Africa","Right-Handed, Two-Handed Backhand",Fredrik Rosengren,53-63
10,Kei Nishikori,27,(1989.12.29),165,(178cm),22,2007,"Shimane, Japan","Right-Handed, Two-Handed Backhand",Dante Bottini and Michael Chang,331-155
11,Jordan Thompson,23,(1994.04.20),161,(183cm),94,2013,"Sydney, Australia","Right-Handed, Two-Handed Backhand",Desmond Tyson,16-29
12,Grigor Dimitrov,26,(1991.05.16),176,(191cm),3,2008,"Haskovo, Bulgaria","Right-Handed, One-Handed Backhand",Daniel Vallverdu,257-161
13,Dominic Thiem,24,(1993.09.03),180,(185cm),5,2011,"Wiener Neustadt, Austria","Right-Handed, One-Handed Backhand",Günter Bresnik,171-109
14,Milos Raonic,26,(1990.12.27),216,(196cm),24,2008,"Podgorica, Montenegro","Right-Handed, Two-Handed Backhand",,288-132
15,Diego Schwartzman,25,(1992.08.16),141,(170cm),26,2010,"Buenos Aires, Argentina","Right-Handed, Two-Handed Backhand",Juan Ignacio Chela,70-76
16,Stan Wawrinka,32,(1985.03.28),179,(183cm),9,2002,"Lausanne, Switzerland","Right-Handed, One-Handed Backhand",,465-262
17,Viktor Troicki,31,(1986.02.10),189,(193cm),55,2006,"Belgrade, Serbia","Right-Handed, Two-Handed Backhand",Jack Reader,282-250
18,Kei Nishikori,27,(1989.12.29),165,(178cm),22,2007,"Shimane, Japan","Right-Handed, Two-Handed Backhand",Dante Bottini and Michael Chang,331-155
19,Jared Donaldson,21,(1996.10.09),165,(188cm),54,2014,"Providence, RI, USA","Right-Handed, Two-Handed Backhand",Jan-Michael Gambill,32-44
20,Dominic Thiem,24,(1993.09.03),180,(185cm),5,2011,"Wiener Neustadt, Austria","Right-Handed, One-Handed Backhand",Günter Bresnik,171-109
21,Sam Groth,30,(1987.10.19),220,(193cm),247,2006,"Narrandera, Australia","Right-Handed, One-Handed Backhand",Billy Heiser,38-62
22,Rafael Nadal,31,(1986.06.03),188,(185cm),1,2001,"Manacor, Mallorca, Spain","Left-Handed, Two-Handed Backhand",Carlos Moya and Toni Nadal,873-185
23,Mischa Zverev,30,(1987.08.22),194,(191cm),33,2005,"Moscow, Russia","Left-Handed, Two-Handed Backhand",Alexander Zverev Sr.,110-155
24,Kyle Edmund,22,(1995.01.08),184,(188cm),50,2012,"Johannesburg, South Africa","Right-Handed, Two-Handed Backhand",Fredrik Rosengren,53-63
25,Lucas Pouille,23,(1994.02.23),179,(185cm),18,2012,"Grande-Synthe, France","Right-Handed, Two-Handed Backhand",Emmanuel Planque,85-66
26,Grigor Dimitrov,26,(1991.05.16),176,(191cm),3,2008,"Haskovo, Bulgaria","Right-Handed, One-Handed Backhand",Daniel Vallverdu,257-161
27,Nicolas Mahut,35,(1982.01.21),176,(191cm),104,2000,"Angers, France","Right-Handed, One-Handed Backhand",Gabriel Urpi and Jerome Haehnel,171-213
28,Jordan Thompson,23,(1994.04.20),161,(183cm),94,2013,"Sydney, Australia","Right-Handed, Two-Handed Backhand",Desmond Tyson,16-29
29,David Ferrer,35,(1982.04.02),160,(175cm),37,2000,"Javea, Spain","Right-Handed, Two-Handed Backhand",Francisco Fogues,717-353
30,Rafael Nadal,31,(1986.06.03),188,(185cm),1,2001,"Manacor, Mallorca, Spain","Left-Handed, Two-Handed Backhand",Carlos Moya and Toni Nadal,873-185
31,Alexandr Dolgopolov,29,(1988.11.07),157,(180cm),38,2006,"Kiev, Ukraine","Right-Handed, Two-Handed Backhand",Stas Khmarskiy,216-196
