,winner,loser,court,Type,set1.1,set1.2,set2.1,set2.2,set3.1,set3.2
0,Grigor Dimitrov,Kei Nishikori,Outdoor,Hard,6,2,2,6,6,3
1,Grigor Dimitrov,Milos Raonic,Outdoor,Hard,7,6,6,2,0,0
2,Kei Nishikori,Stan Wawrinka,Outdoor,Hard,7,6,6,3,0,0
3,Milos Raonic,Rafael Nadal,Outdoor,Hard,4,6,6,3,6,4
4,Stan Wawrinka,Kyle Edmund,Outdoor,Hard,6,7,6,4,6,4
5,Kei Nishikori,Jordan Thompson,Outdoor,Hard,6,1,6,1,0,0
6,Grigor Dimitrov,Dominic Thiem,Outdoor,Hard,6,3,4,6,6,3
7,Milos Raonic,Diego Schwartzman,Outdoor,Hard,6,3,6,2,0,0
8,Stan Wawrinka,Viktor Troicki,Outdoor,Hard,7,6,6,4,0,0
9,Kei Nishikori,Jared Donaldson,Outdoor,Hard,4,6,6,4,6,3
10,Dominic Thiem,Sam Groth,Outdoor,Hard,7,6,6,3,0,0
11,Rafael Nadal,Mischa Zverev,Outdoor,Hard,6,1,6,1,0,0
12,Kyle Edmund,Lucas Pouille,Outdoor,Hard,6,3,3,1,(,R
13,Grigor Dimitrov,Nicolas Mahut,Outdoor,Hard,6,2,6,4,0,0
14,Jordan Thompson,David Ferrer,Outdoor,Hard,4,6,7,5,7,5
15,Rafael Nadal,Alexandr Dolgopolov,Outdoor,Hard,6,3,6,3,0,0
16,Lucas Pouille,Gilles Simon,Outdoor,Hard,7,6,7,6,0,0
17,Grigor Dimitrov,Steve Johnson,Outdoor,Hard,6,2,6,3,0,0
18,David Ferrer,Bernard Tomic,Outdoor,Hard,6,3,7,5,0,0
19,Jared Donaldson,Gilles Muller,Outdoor,Hard,6,4,6,4,0,0
20,Kyle Edmund,Ernesto Escobedo,Outdoor,Hard,7,6,7,6,0,0
21,Sam Groth,Pierre-Hugues Herbert,Outdoor,Hard,6,3,5,7,7,5
22,Nicolas Mahut,Stephane Robert,Outdoor,Hard,4,6,6,3,6,4
23,Diego Schwartzman,Sam Querrey,Outdoor,Hard,6,2,6,4,0,0
24,Jordan Thompson,Elias Ymer,Outdoor,Hard,6,3,6,2,0,0
25,Viktor Troicki,Yoshihito Nishioka,Outdoor,Hard,6,4,7,5,0,0
26,Mischa Zverev,Alex de Minaur,Outdoor,Hard,6,3,6,3,0,0
27,Yoshihito Nishioka,Tim Smyczek,Outdoor,Hard,7,5,6,4,0,0
28,Jared Donaldson,John-Patrick Smith,Outdoor,Hard,6,2,4,6,7,6
29,Alex de Minaur,Frances Tiafoe,Outdoor,Hard,6,7,6,4,6,4
30,Ernesto Escobedo,Ivan Dodig,Outdoor,Hard,6,3,6,7,6,3
31,Alex de Minaur,Mikhail Kukushkin,Outdoor,Hard,6,4,7,6,0,0
32,Ivan Dodig,Ryan Harrison,Outdoor,Hard,6,4,4,6,6,4
33,Yoshihito Nishioka,Go Soeda,Outdoor,Hard,6,4,0,6,6,2
34,Jared Donaldson,Rajeev Ram,Outdoor,Hard,6,2,6,4,0,0
35,Frances Tiafoe,Andrew Whittington,Outdoor,Hard,7,6,6,3,0,0
36,Tim Smyczek,Bjorn Fratangelo,Outdoor,Hard,4,6,6,2,6,3
37,John-Patrick Smith,Stefan Kozlov,Outdoor,Hard,6,2,6,3,0,0
38,Ernesto Escobedo,Tobias Kamke,Outdoor,Hard,6,3,6,4,0,0
39,Roberto Bautista Agut,Daniil Medvedev,Outdoor,Hard,6,3,6,4,0,0
40,Roberto Bautista Agut,Benoit Paire,Outdoor,Hard,6,3,6,3,0,0
41,Daniil Medvedev,Dudi Sela,Outdoor,Hard,4,6,7,6,6,2
42,Roberto Bautista Agut,Mikhail Youzhny,Outdoor,Hard,2,6,6,4,6,4
43,Dudi Sela,Albert Ramos-Vinolas,Outdoor,Hard,7,5,6,4,0,0
44,Benoit Paire,Aljaz Bedene,Outdoor,Hard,6,3,6,0,0,0
45,Daniil Medvedev,Jozef Kovalik,Outdoor,Hard,6,1,6,4,0,0
46,Jozef Kovalik,Marin Cilic,Outdoor,Hard,7,6,5,7,7,5
47,Roberto Bautista Agut,Rogerio Dutra Silva,Outdoor,Hard,6,3,6,2,0,0
48,Albert Ramos-Vinolas,Steve Darcis,Outdoor,Hard,6,2,6,0,0,0
49,Aljaz Bedene,Martin Klizan,Outdoor,Hard,7,6,6,7,7,6
50,Benoit Paire,Yuki Bhambri,Outdoor,Hard,6,3,6,4,0,0
51,Mikhail Youzhny,Renzo Olivo,Outdoor,Hard,6,1,7,5,0,0
52,Daniil Medvedev,Yen-Hsun Lu,Outdoor,Hard,6,4,6,3,0,0
