name, location, surface
Brisbane International presented by Suncorp,Outdoor,Hard
Aircel Chennai Open,Outdoor,Hard
Qatar ExxonMobil Open,Outdoor,Hard
Sydney International,Outdoor,Hard
ASB Classic,Outdoor,Hard
Australian Open,Outdoor,Hard
Open Sud de France,Indoor,Hard
Ecuador Open,Outdoor,Clay
Garanti Koza Sofia Open,Indoor,Hard
Argentina Open,Outdoor,Clay
Memphis Open,Indoor,Hard
ABN Amro World Tennis Tournament,Indoor,Hard
Delray Beach Open,Outdoor,Hard
Open 13 Marseille,Indoor,Hard
Rio Open presented by Claro,Outdoor,Clay
Abierto Mexicano Telcel,Outdoor,Hard
Dubai Duty Free Tennis Championships,Outdoor,Hard
Brasil Open,Outdoor,Clay
BNP Paribas Open,Outdoor,Hard
Miami Open presented by Itaú,Outdoor,Hard
Fayez Sarofim & Co. US Men’s Clay Court Championship,Outdoor,Clay
Grand Prix Hassan II,Outdoor,Clay
Rolex Monte-Carlo Masters,Outdoor,Clay
Barcelona Open Banc Sabadell,Outdoor,Clay
Gazprom Hungarian Open,Outdoor,Clay
Millennium Estoril Open,Outdoor,Clay
TEB BNP Paribas Istanbul Open,Outdoor,Clay
BMW Open by FWU,Outdoor,Clay
Mutua Madrid Open,Outdoor,Clay
Internazionali BNL d’Italia,Outdoor,Clay
Banque Eric Sturdza Geneva Open,Outdoor,Clay
Open Parc Auvergne-Rhône-Alpes Lyon,Outdoor,Clay
Roland Garros,Outdoor,Clay
Ricoh Open,Outdoor,Grass
Mercedes Cup,Outdoor,Grass
Gerry Weber Open,Outdoor,Grass
Aegon Championships,Outdoor,Grass
Antalya Open,Outdoor,Grass
Aegon International,Outdoor,Grass
Wimbledon,Outdoor,Grass
SkiStar Swedish Open,Outdoor,Clay
Dell Technologies Hall of Fame Open,Outdoor,Grass
Plava Laguna Croatia Open Umag,Outdoor,Clay
BB&T Atlanta Open,Outdoor,Hard
J. Safra Sarasin Swiss Open Gstaad,Outdoor,Clay
German Tennis Championships 2017,Outdoor,Clay
Generali Open,Outdoor,Clay
Abierto Mexicano de Tenis Mifel presentado por Cinemex,Outdoor,Hard
Citi Open,Outdoor,Hard
Coupe Rogers,Outdoor,Hard
Western & Southern Open,Outdoor,Hard
Winston-Salem Open,Outdoor,Hard
US Open,Outdoor,Hard
Moselle Open,Indoor,Hard
St. Petersburg Open,Indoor,Hard
Chengdu Open,Outdoor,Hard
Shenzhen Open,Outdoor,Hard
China Open,Outdoor,Hard
Rakuten Japan Open Tennis Championships 2017,Outdoor,Hard
Shanghai Rolex Masters,Outdoor,Hard
European Open,Indoor,Hard
VTB Kremlin Cup,Indoor,Hard
Intrum Stockholm Open,Indoor,Hard
Swiss Indoors Basel,Indoor,Hard
Erste Bank Open 500,Indoor,Hard
Rolex Paris Masters,Indoor,Hard
Nitto ATP Finals,Indoor,Hard
